"HISTORY OF SCIENCE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"456
HIST SCI","","","","","","","","","","","","","","","","","","","","",""
"Great Scientists","100","001","","26","3.000","26.9","7.7","26.9","7.7","15.4",".","3.8","11.5",".",".",".",".",".",".",".","."
"Origins-Scientific Thought","201","001","","66","3.525","45.5","22.7","10.6","10.6","3.0",".",".","6.1",".",".",".",".",".",".","1.5","."
"Making of Modern Science","202","001","","72","3.331","18.1","37.5","30.6","5.6","2.8",".",".","5.6",".",".",".",".",".",".",".","."
"The Physician in History","212","001","","74","3.356","23.0","33.8","35.1","4.1","2.7",".",".","1.4",".",".",".",".",".",".",".","."
"Ag&Soc Change-Western Hist","230","001","","15","3.654","53.3","20.0",".","13.3",".",".",".","13.3",".",".",".",".",".",".",".","."
"Physician in Hist (Honors)","284","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Phys-Classic Period","325","001","","21","3.433","28.6","19.0","14.3","4.8","4.8",".",".","23.8",".",".",".",".",".","4.8",".","."
"The Darwinian Revolution","343","001","","23","3.227","26.1","34.8","17.4","8.7","4.3",".","4.3","4.3",".",".",".",".",".",".",".","."
"Spec Topics-Hist of Science","350","001","","22","3.816","59.1","22.7","4.5",".",".",".",".","9.1",".",".",".",".",".","4.5",".","."
"History of Pharmacy","401","001","","12","3.450","41.7","8.3","25.0",".","8.3",".",".","16.7",".",".",".",".",".",".",".","."
"Enivr&Hlth-Global Perspective","513","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Smr-Hist of Sci","555","001","","12","3.208","41.7","16.7","25.0","8.3",".",".","8.3",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","","9","3.500","55.6",".","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in History of Med","668","001","","14","3.286","21.4","28.6","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Studies - Environment & Health","713","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: History of Technology","907","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Science in America","915","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Special Topics","921","001","","8","3.643","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Seminar:Research and Thesis","925","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Science Colloq","950","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Independent Work","999","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
