"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","031","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","11","3.906","72.7","18.2",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"812","061","","19","3.632","36.8","52.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","17","3.706","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","18","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Obs & Gynecology","Course Total","","70","3.650","41.4","47.1","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gynecol Oncology Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"925","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"High Risk Obst Clrk-Meriter","Course Total","","2","***","","","","","","","","","","","","","","","",""
"927
ObGyn Inpatnt Clrk-LaCrosse","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"928
ObGyn Outptnt Clrk-LaCrosse","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Women's Reproductive Health","Course Total","","3","***","","","","","","","","","","","","","","","",""
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","15","3.921","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
