"MEDICAL SCIENCES - MED SCH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Directed Study","699
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Infection and Immunity II","702
001","162","3.528","37.7","38.3","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Gastrointestinal/Hepatic Sys","707
001","160","3.672","51.9","33.8","11.9","1.9","0.6",".",".",".",".",".",".",".",".",".",".","."
"Renal","709
001","164","3.190","26.2","12.8","40.2","12.8","7.3",".",".",".",".",".",".",".",".",".",".","0.6"
"Male/Female Endocrine Sys","711
001","162","3.676","53.1","32.7","10.5","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Psychiatry:Intro Psychpatholgy","716
001","152","3.497","38.8","35.5","15.1","7.9","1.3",".","0.7",".",".",".",".",".",".",".",".","0.7"
"Psych:Interprsnl&Biopsychosocl","726
001","168","3.884","81.0","14.9","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology II","727
001","163","3.639","53.4","20.9","24.5","0.6",".",".",".",".",".",".",".",".","0.6",".",".","."
"Neuroscience","731
001","152","3.709","68.4","7.9","21.1",".","2.0",".",".",".",".",".",".",".",".",".",".","0.7"
"Complementry Med-Clin Pract","733
001","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clin Nutr-Hum Hlth&Disease","734
001","165","3.733","60.0","27.9","11.5",".","0.6",".",".",".",".",".",".",".",".",".",".","."
"Med Spanish for Hlth Sci Stdts","735
001","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Patient, Doctor & Society II","801
001","152","3.877","78.3","16.4","3.9",".",".",".",".",".",".",".",".",".","0.7",".",".","0.7"
"Patient, Doctor & Society 4","807
001","162","3.863","75.9","19.8","3.7",".",".",".",".",".",".",".",".",".",".",".",".","0.6"
"MED SC-M
622","Dept. Total","1798","3.668","55.6","23.2","14.5","3.1","1.1",".","0.1","0.1",".","1.9",".",".","0.1",".",".","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Senior","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Undergraduates","","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Graduate","","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Yr 1","","474","3.742","59.3","19.0","12.9","2.5","0.8",".","0.2",".",".","4.4",".",".","0.2",".",".","0.6"
"Prof Yr 2","","1303","3.636","55.2","24.9","15.0","3.1","1.1",".",".",".",".","0.5",".",".","0.1",".",".","0.2"
"Prof Yr 3","","14","2.893",".","28.6","28.6","21.4","7.1",".",".","7.1",".","7.1",".",".",".",".",".","."
"Professionals","","1791","3.668","55.8","23.3","14.6","3.1","1.1",".","0.1","0.1",".","1.6",".",".","0.1",".",".","0.3"
"","Dept. Total","1798","3.668","55.6","23.2","14.5","3.1","1.1",".","0.1","0.1",".","1.9",".",".","0.1",".",".","0.3"
