"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","002","151","3.466","33.1","39.1","20.5","3.3",".","0.7","1.3","2.0",".",".",".",".",".",".",".","."
"","102","001","127","3.126","17.3","32.3","25.2","11.0","7.1","3.1","0.8","2.4",".",".",".",".",".",".",".","0.8"
"","102","002","210","3.421","25.7","37.1","25.7","3.3","0.5",".","1.0","6.7",".",".",".",".",".",".",".","."
"Amer Hist-Civil War-Present","","Course Total","337","3.307","22.6","35.3","25.5","6.2","3.0","1.2","0.9","5.0",".",".",".",".",".",".",".","0.3"
"Medieval Europe 410-1500","115","001","76","3.496","28.9","35.5","21.1",".","1.3",".","1.3","10.5",".",".",".",".","1.3",".",".","."
"Modern Europe 1500-1815","119","001","130","2.921","10.8","16.2","38.5","20.0","6.9","3.1","1.5","3.1",".",".",".",".",".",".",".","."
"History-S Asia to Present","142","001","67","3.248","32.8","20.9","28.4","4.5","6.0","6.0",".",".",".",".",".",".","1.5",".",".","."
"","199","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Historical Studies","200","001","24","3.696","50.0","33.3","12.5",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"","221","001","20","3.368","20.0","50.0","10.0","10.0","5.0",".",".",".",".",".",".",".",".","5.0",".","."
"","221","002","50","3.224","16.0","42.0","26.0","6.0","6.0",".","2.0","2.0",".",".",".",".",".",".",".","."
"","221","003","54","3.167","13.0","50.0","20.4","5.6","5.6","3.7","1.9",".",".",".",".",".",".",".",".","."
"","221","004","38","3.111","28.9","18.4","26.3","7.9","5.3","5.3","2.6","2.6",".",".",".",".","2.6",".",".","."
"Explorations in Amer Hist (H)","","Course Total","162","3.196","18.5","40.1","22.2","6.8","5.6","2.5","1.9","1.2",".",".",".",".","0.6","0.6",".","."
"Explorations in Amer Hist (S)","222","001","23","3.614","56.5","13.0","21.7",".","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Exploration-European Hist (H)","223","001","36","2.903","19.4","27.8","16.7","13.9","13.9","2.8","5.6",".",".",".",".",".",".",".",".","."
"Exploration-European Hist (S)","224","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","27","2.860","7.4","22.2","37.0","11.1","7.4","3.7","3.7",".",".",".",".",".",".","7.4",".","."
"American Business History","247","001","67","3.044","7.5","32.8","32.8","14.9","3.0",".","3.0","6.0",".",".",".",".",".",".",".","."
"Russia: An Interdis Survey","253","001","27","3.315","33.3","33.3","22.2",".","3.7","7.4",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","60","3.450","36.7","31.7","21.7","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Cen Asia: Silk Route-Afghan","265","001","99","3.454","33.3","36.4","21.2","4.0","2.0",".","1.0","2.0",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","50","3.394","28.0","40.0","14.0","10.0",".",".","2.0","6.0",".",".",".",".",".",".",".","."
"A History of Rome","307","001","166","3.282","20.5","36.7","24.1","6.6","4.8","1.2","0.6","5.4",".",".",".",".",".",".",".","."
"Crusades: Christianity & Islam","309","001","64","3.509","46.9","9.4","15.6","7.8","4.7",".",".","15.6",".",".",".",".",".",".",".","."
"Cap, Soc, Democ-Am 1890 on","327","001","7","2.800","28.6",".",".",".","42.9",".",".","14.3",".",".",".",".",".",".","14.3","."
"Afr/Afroam Hist Rel-1700 on","330","001","15","3.433","20.0","53.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Islam Reform&Rev-Cntrl Asia","332","001","35","2.900","20.0","11.4","20.0","20.0","14.3","5.7",".","2.9",".",".",".",".",".","5.7",".","."
"The Renaissance","333","001","67","3.455","29.9","34.3","22.4","6.0","1.5",".",".","4.5",".",".",".",".","1.5",".",".","."
"Hist-Modern China,1800-1949","341","001","47","3.530","27.7","53.2","12.8","2.1","2.1",".",".",".",".",".",".",".",".",".",".","2.1"
"Seventeenth-Century Europe","351","001","67","3.317","9.0","61.2","23.9",".","4.5","1.5",".",".",".",".",".",".",".",".",".","."
"Rev&Natlism-Ireland,1780-On","365","001","71","3.121","23.9","26.8","25.4","8.5","9.9","1.4","2.8",".",".",".",".",".",".",".","1.4","."
"Soc-Shakespeares England","367","001","50","3.065","6.0","22.0","42.0","22.0",".",".",".","8.0",".",".",".",".",".",".",".","."
"Hist of Africa Since 1870","378","001","58","3.089","29.3","15.5","24.1","20.7","3.4",".","5.2","1.7",".",".",".",".",".",".",".","."
"Islam in Iran","379","001","40","3.531","37.5","30.0","7.5",".","2.5",".","2.5","17.5",".",".",".",".",".",".","2.5","."
"Jefferson&Jackson,1789-1848","391","001","123","3.420","24.4","48.0","15.4","6.5","1.6",".","0.8","2.4",".",".",".",".",".",".","0.8","."
"Women in History","392","001","43","3.218","14.0","30.2","32.6","9.3","2.3","2.3",".","9.3",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 224 of 403",""
