"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"Surgery Fundamentals","544
001","","75","3.353","30.7","21.3","38.7","6.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"Fundmntls-Anesthesiology I","545
001","","75","3.680","64.0","14.7","17.3","1.3","2.7",".",".",".",".",".",".",".",".",".",".","."
"Fundmntls-Anesthesiology II","546
001","","79","3.209","25.3","13.9","43.0","12.7","5.1",".",".",".",".",".",".",".",".",".",".","."
"Large Animal Surgery","631
001","","78","2.442","9.0","3.8","16.7","20.5","43.6","6.4",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632
001","","77","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634
001","","76","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Veterinary Radiology","638
001","","79","3.380","22.8","35.4","36.7","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"","642
001","","45","3.727","22.2",".",".",".",".","2.2",".","75.6",".",".",".",".",".",".",".","."
"","642
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","47","3.750","23.4",".",".",".",".","2.1",".","74.5",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644
001","","26","4.000","19.2",".",".",".",".",".",".","80.8",".",".",".",".",".",".",".","."
"","645
001","","45","4.000","31.1",".",".",".",".",".",".","68.9",".",".",".",".",".",".",".","."
"","645
002","","11","4.000","36.4",".",".",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","56","4.000","32.1",".",".",".",".",".",".","67.9",".",".",".",".",".",".",".","."
"Veterinary Anesthesiology","646
001","","29","4.000","37.9",".",".",".",".",".",".","62.1",".",".",".",".",".",".",".","."
"Radiology Clinics","647
001","","27","4.000","44.4",".",".",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"","675
001","","21","4.000","28.6",".",".",".",".",".",".","71.4",".",".",".",".",".",".",".","."
"","675
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
003","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
004","","33","4.000","36.4",".",".",".",".",".",".","63.6",".",".",".",".",".",".",".","."
"","675
010","","35","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","97","4.000","18.6",".",".",".",".",".",".","81.4",".",".",".",".",".",".",".","."
"Special Species Health","676
001","","79","3.278","22.8","26.6","38.0","8.9","3.8",".",".",".",".",".",".",".",".",".",".","."
"Vet Dentistry Elective","677
001","","58","4.000","94.8",".",".",".",".",".",".","5.2",".",".",".",".",".",".",".","."
"","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","3.947","60.0","6.7",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Clinical Ophthalm Rotation","741
001","","31","4.000","74.2",".",".",".",".",".",".","25.8",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Restrnt/Anesth Exotic Anmls","744
001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Food Animal Surgery","746
001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","748
001","","21","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","748
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","Course Total","","22","4.000","72.7",".",".",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"Sm Animal Ultrasound Elective","750
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","775
001","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 398 of 403",""
