"","760
115","1","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","172","3.817","76.2","15.7","5.2","1.2","1.7","",".",".",".","",".",".","",".","",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","962
001","9","3.889","77.8","22.2",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".","."
"Advanced Independent Study","999
027","8","",".",".",".",".",".",".","",".","100.0",".","",".",".","",".","",".",".",".","."
"PHM PRAC
728","Dept. Total","1450","3.661","60.1","22.7","11.7","3.7","0.8","",".","0.1","0.6","",".",".","",".","",".","0.1",".","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","",".",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".","100.0","."
"Junior","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","30","3.435","33.3","26.7","30.0","10.0",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","32","3.453","34.4","25.0","28.1","9.4",".","",".",".",".","",".",".","",".","",".",".",".","3.1","."
"Special","","1","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Graduate","","27","3.714","48.1","14.8","7.4",".",".","",".",".","29.6","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","155","3.975","98.1","0.6","0.6",".",".","",".",".",".","",".",".","",".","",".",".",".","0.6","."
"Prof Yr 2","","376","3.522","48.7","35.9","12.0","2.9","0.3","",".",".",".","",".",".","",".","",".","0.3",".",".","."
"Prof Yr 3","","601","3.462","51.4","24.5","16.6","6.2","1.0","",".","0.2",".","",".",".","",".","",".",".",".","0.2","."
"Prof Yr 4","","258","3.840","79.1","13.2","4.7","1.2","1.6","",".",".",".","",".",".","",".","",".",".",".",".","0.4"
"Professionals","","1390","3.662","61.0","22.8","11.4","3.7","0.8","",".","0.1",".","",".",".","",".","",".","0.1",".","0.1","0.1"
"","Dept. Total","1450","3.661","60.1","22.7","11.7","3.7","0.8","",".","0.1","0.6","",".",".","",".","",".","0.1",".","0.2","0.1"
