"CLINICAL LABORATORY SCIENC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","",""
"Intro-Cl Lab Sci Procedures","310
001","26","3.308","19.2","26.9","50.0","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Prin of Clin Lab Instr I","404
001","22","3.545","31.8","45.5","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hemostasis and Coagulation","514
001","20","3.525","45.0","30.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Clinical Hematology II","516
001","27","3.481","40.7","18.5","37.0","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Select&Eval-Meas & Contrl Proc","520
001","21","3.452","33.3","38.1","19.0","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Clinical Chemistry II","526
001","22","3.386","27.3","22.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Diagosis-Infec Disease II","536
001","23","3.348","34.8","13.0","43.5","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"The Breast","544
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Genitourinary System","545
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Gastrointestinal System","546
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Effusions","547
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Central Nervous System","548
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Miscellaneous Systems","549
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","570
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","570
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Molecular Diagnostics","Course Total","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Cytology I","573
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
002","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Lab Science Practicum","Course Total","21","3.962","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Issues Seminar","640
001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CLNLABSC
628","Dept. Total","233","3.540","50.2","21.9","24.5","2.1","1.3",".",".",".",".",".",".",".",".",".",".","."
