"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"426
Intro-Pharm Care Clrkshp II","001","","127","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"441
Therpeutcs-PAs&Adv Prac Nur,II","001","","30","3.417","33.3","26.7","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"448
Team Appr-Emergncy Care","001","","9","3.111",".","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"490","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490","003","","16","3.567","31.3","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"490","004","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","005","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","","53","3.927","79.2","13.2","5.7",".",".",".",".",".",".",".",".",".",".",".","1.9","."
"526
Intro-Phmceut Care Clrk IV","056","","123","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"556
Pharmacotherapy II","001","","124","3.327","13.7","48.4","28.2","8.9","0.8",".",".",".",".",".",".",".",".",".",".","."
"570
Drug Literature Evaluation","001","","124","3.589","29.0","61.3","8.1","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"608
Safety & Quality-Med Use Sys","001","","130","3.577","36.2","45.4","16.2","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"626
Intro-Phmceut Care Clrk VI","056","","126","3.905","91.3",".","7.9",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"650
Comprehnsv Immunizatn Delivery","001","","37","3.514","45.9","16.2","32.4","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"656
Pharmacotherapy IV","001","","128","3.055","9.4","25.8","39.1","21.1","3.9",".","0.8",".",".",".",".",".",".",".",".","."
"664","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"664","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","","2","***","","","","","","","","","","","","","","","",""
"670
Veterinary Therapeutics","001","","27","3.864","77.8","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"672","001","","22","3.881","81.8","4.5","9.1",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"672","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Herbl, Homeopthy&Diet","Course Total","","23","3.869","78.3","8.7","8.7",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","39","4.000","97.4",".",".",".",".",".",".",".",".",".",".",".",".",".","2.6","."
"699","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","68","3.994","94.1","1.5",".",".",".",".",".",".",".",".",".",".","1.5",".","2.9","."
"710","001","","41","3.549","17.1","75.6","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"710","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Geriatric Pharmacotherapy","Course Total","","42","3.548","16.7","76.2","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"740","005","","24","3.854","87.5",".","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"740","006","","17","3.813","76.5","11.8",".",".","5.9",".",".",".",".",".",".",".",".",".",".","5.9"
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 390 of 403",""
