"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"","120
001","415","3.011","17.6","25.1","22.7","16.1","13.5","3.4","0.2","1.2","0.2",".",".",".",".",".",".","."
"","120
002","20","3.275","35.0","25.0","25.0","10.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","120
003","20","3.675","45.0","45.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marriage and Family","Course Total","455","3.052","19.6","25.9","22.2","15.2","12.3","3.1","0.4","1.1","0.2",".",".",".",".",".",".","."
"Criminal Justice in America","131
002","120","2.596","9.2","15.0","23.3","15.8","26.7","7.5","2.5",".",".",".",".",".",".",".",".","."
"","134
001","95","3.261","28.4","22.1","28.4","11.6","4.2","2.1",".","2.1",".",".",".",".",".","1.1",".","."
"","134
003","93","3.148","15.1","25.8","39.8","11.8","4.3",".","1.1","1.1","1.1",".",".",".",".",".",".","."
"","134
004","98","3.423","38.8","31.6","15.3","8.2","4.1","2.0",".",".",".",".",".",".",".",".",".","."
"","134
005","96","3.237","22.9","31.3","28.1","7.3","8.3",".","1.0","1.0",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","382","3.270","26.4","27.7","27.7","9.7","5.2","1.0","0.5","1.0","0.3",".",".",".",".","0.3",".","."
"Intro-Rural Sociol&Development","140
001","12","2.667","33.3","16.7","16.7",".","8.3","8.3","16.7",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","189","2.905","14.3","19.0","24.3","18.5","19.6","2.1",".","2.1",".",".",".",".",".",".",".","."
"","198
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","4","***","","","","","","","","","","","","","","","",""
"","199
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
016","33","3.973","90.9","6.1",".",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"","199
066","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","38","3.976","92.1","5.3",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200
001","77","3.301","31.2","28.6","19.5","7.8","3.9","2.6","1.3","3.9",".",".",".",".",".","1.3",".","."
"Survey of Sociology","210
001","133","3.231","21.1","30.1","34.6","8.3","3.0","0.8","1.5","0.8",".",".",".",".",".",".",".","."
"The Sociological Enterprise","211
001","89","3.337","39.3","14.6","33.7","3.4","7.9",".","1.1",".",".",".",".",".",".",".",".","."
"Gender & Work-Rural America","215
001","32","2.906","15.6","12.5","37.5","12.5","18.8","3.1",".",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","121","3.350","30.6","39.7","16.5","6.6","2.5",".","3.3",".",".",".",".",".",".",".","0.8","."
"SE Asia:Vietnam to Philipns","244
001","13","3.208","23.1","23.1","23.1","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","21","3.262","28.6","28.6","28.6","4.8","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"People&Places:Demog-Rur Am","266
001","22","3.364","27.3","22.7","45.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","26","3.135","19.2","34.6","26.9","7.7","7.7",".","3.8",".",".",".",".",".",".",".",".","."
"Cap, Soc, Democ-Am 1890 on","327
001","24","3.273","12.5","41.7","25.0","8.3","4.2",".",".","8.3",".",".",".",".",".",".",".","."
"","357
001","24","3.292","29.2","29.2","20.8","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"","002
357","22","2.864","4.5","40.9","18.2","13.6","18.2",".","4.5",".",".",".",".",".",".",".",".","."
"","357
003","20","3.175","25.0","15.0","35.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","004
357","19","3.421","21.1","57.9","5.3","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","357
005","28","3.750","71.4","14.3","10.7",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","357
006","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
007","19","3.579","42.1","42.1","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","357
008","18","3.556","38.9","55.6",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","357
009","20","3.450","25.0","55.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","189","3.434","37.0","36.0","13.2","7.4","5.3","0.5","0.5",".",".",".",".",".",".",".",".","."
"","001
360","37","2.932","27.0","16.2","18.9","13.5","16.2","5.4","2.7",".",".",".",".",".",".",".",".","."
"","002
360","41","3.329","51.2","2.4","19.5","14.6","12.2",".",".",".",".",".",".",".",".",".",".","."
"","360
003","34","2.955","26.5","23.5","14.7","8.8","8.8","14.7",".",".",".",".",".",".","2.9",".",".","."
