"COLLABORATIVE NURSING PRG Section","#","","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"306
001
Narrative Anal-Nursing Prac","","13","3.731","46.2","53.8",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"317
003
Health Assessment","","17","3.529","35.3","47.1","11.8",".","","5.9",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"341
003
Theoretical Foundations","","12","3.875","83.3","8.3","8.3",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"434
003
Nursing Research","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"437
003
Mgmt & Leadershp in Nursing","","5","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"444
003
Community Health Nursing","","13","3.808","84.6","7.7",".",".","","7.7",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"490
022","","15","3.567","46.7","33.3","13.3",".","","6.7",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"490
026","","2","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"490
029","","3","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Course Total
Special Topics in Nursing","","20","3.569","45.0","35.0","15.0","",".","5.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"519
001
Capstone Practicum for RN's","","5","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"CNP
Dept. Total
691","","86","3.708","59.3","29.1","8.1","",".","3.5","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","4","4.000","100.0",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","33","3.648","48.5","36.4","12.1","",".","3.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","47","3.739","63.8","27.7","4.3","",".","4.3","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","84","3.714","59.5","29.8","7.1","",".","3.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","2","3.500","50.0",".","50.0","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","86","3.708","59.3","29.1","8.1","",".","3.5","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
