"MEDICAL HISTORY AND BIOETH Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","",""
"The Physician in History","212
001","79","3.096","16.5","16.5","50.6","10.1","2.5",".","2.5","1.3",".",".",".",".",".",".",".","."
"Physician in Hist (Honors)","284
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Childbirth in the US","431
001","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Enivr&Hlth-Global Perspective","513
001","7","3.583","28.6","42.9","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523
001","22","3.690","50.0","31.8","13.6",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"Ethical Probs-Biomed Tech","558
001","25","3.375","28.0","36.0","16.0","12.0","4.0",".",".","4.0",".",".",".",".",".",".",".","."
"Ethics of Modern Biotechnology","565
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in History of Med","668
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Study in Med History","699
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Studies - Environment & Health","713
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist Perspectives-Medicine","720
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Studies in Med Ethics","734
001","7","3.900","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Science in America","915
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"MED HIST
452","Dept. Total","177","3.341","33.9","24.3","28.2","6.2","2.3",".","1.1","4.0",".",".",".",".",".",".",".","."
