"REHAB PSYCH & SPECIAL EDUC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"","300
001","91","3.720","67.0","24.2","4.4","1.1","1.1","1.1","1.1",".",".",".",".",".",".",".",".","."
"","002
300","87","3.937","89.7","8.0","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","178","3.826","78.1","16.3","3.4","0.6","0.6","0.6","0.6",".",".",".",".",".",".",".",".","."
"Behav Anal:Person-Disabilty","330
001","32","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Families-Individs w/ Disabils","450
001","22","3.909","95.5",".",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Indiv/Learn & Behav Disability","470
001","24","3.848","66.7","29.2",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Mth&Curric:Lrn&Bhv Dis, 6-12","472
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt: Stdts/Lrn&Bhv Disability","473
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","474
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","474
002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnosis&Assessmt:Lrn&Bhv","Course Total","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract: Stdts/Lrn&Bhv Dis, K-9","475
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","477
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","477
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","477
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach: Lrn&Bhv Dis, K-9","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","478
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","478
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","478
003","6","3.907","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Teach:Lrn & Bhv Dis, 6-12","Course Total","15","3.965","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Readng: Learn&Behav Disab","479
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","501
001","15","3.633","40.0","53.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab Psych-Medical Aspects","550
001","17","3.674","52.9","23.5","17.6",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","630
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
018","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","630
019","16","3.971","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
020","15","3.935","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","37","3.961","91.9","8.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
007","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
015","6","3.900","66.7","16.7",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","660
018","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
019","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","32","3.968","90.6","6.3",".",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"","690
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
010","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 75 of 403"
