"","919
043","","2","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Individualized 4th Yr Clerk","Course Total","","5","***","","","","","","","","","","","","","","","","","","","","","","","","",""
"Clrkshp Family Med-Madison","920
046","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Cl Mgmt-Addictv Disordr-Mad","931
043","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"FAM MED
370","Dept. Total","","40","3.875","35.0","7.5","",".","",".","",".","",".","",".","2.5","",".","55.0","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"370
FAM MED","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","3.500",".","100.0","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","4","4.000","100.0",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","5","3.889","80.0","20.0","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","3","4.000","33.3",".","",".","",".","",".","",".","",".","33.3","",".","33.3","",".","",".","",".",".",".","."
"Graduate","","","2","4.000","100.0",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","","16","",".",".","",".","",".","",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"Prof Yr 2","","","6","4.000","33.3",".","",".","",".","",".","",".","",".",".","",".","66.7","",".","",".","",".",".",".","."
"Prof Yr 3","","","3","3.600","33.3","33.3","",".","",".","",".","",".","",".",".","",".","33.3","",".","",".","",".",".",".","."
"Prof Yr 4","","","5","3.875","80.0","20.0","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","30","3.840","23.3","6.7","",".","",".","",".","",".","",".",".","",".","70.0","",".","",".","",".",".",".","."
"","Dept. Total","","40","3.875","35.0","7.5","",".","",".","",".","",".","",".","2.5","",".","55.0","",".","",".","",".",".",".","."
