"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699
Independent Study","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","041","","13","3.538","15.4","76.9","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","042","","8","3.250",".","75.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"812","043","","14","3.429","21.4","42.9","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","044","","11","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","045","","13","3.692","38.5","61.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","046","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","70","3.554","27.1","60.0","11.4",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"922","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","Course Total","","3","***","","","","","","","","","","","","","","","",""
"923
SpecAdultPsychClerk-Mendota","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-Mendota","Course Total","","3","***","","","","","","","","","","","","","","","",""
"946","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
