"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","","18","3.806","88.9","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","","168","3.387","22.0","53.0","12.5","7.7","4.2",".","0.6",".",".",".",".",".",".",".",".","."
"Directed Study","299
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
002","","9","3.662","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","401
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
006","","7","3.788","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
007","","14","3.967","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","","9","3.897","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
009","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
010","","12","3.911","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","","87","3.909","86.2","11.5","1.1",".","1.1",".",".",".",".",".",".",".",".",".",".","."
"","442
001","","25","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
002","","18","3.778","61.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
442","","24","3.646","37.5","54.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
442","","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac III: Generalist-Comm&Orgs","Course Total","","86","3.762","57.0","38.4","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","","220","3.760","65.0","23.2","7.3","1.8",".",".","0.5","2.3",".",".",".",".",".",".",".","."
"Small Groups-Soc Work Pract","454
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","","84","3.821","77.4","15.5","3.6","1.2","2.4",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare","462
001","","21","3.690","47.6","42.9","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"African American Families","521
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Homelessness: Service Learning","578
001","","25","3.880","80.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","579
002","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","579
003","","27","3.870","92.6",".",".","3.7","3.7",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Social Work","Course Total","","45","3.922","95.6",".",".","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"","606
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","606
002","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Policy","Course Total","","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Wrk with Small Group","624
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","","30","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","","21","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","Course Total","","51","3.931","86.3","13.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","644
001","","57","3.520","47.4","24.6","12.3","5.3","5.3",".",".","3.5",".",".",".",".",".","1.8",".","."
"Child Abuse and Neglect","646
001","","21","3.789","61.9","38.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Social Wrk Research","650
001","","81","3.275","22.2","38.3","22.2","8.6","4.9","2.5",".",".",".",".",".",".",".","1.2",".","."
"Fam Prac-Foster & Kinship Care","656
001","","13","3.821","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","","12","3.813","75.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","","Page 297 of 403",""
