"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","176","3.909","91.5","4.5","2.8",".",".","0.6","0.6",".",".",".",".",".",".",".",".","."
"Independent Reading","299
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","302
001","101","3.812","74.3","17.8","5.9",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","302
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
003","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","Course Total","137","3.861","81.0","13.1","4.4",".","1.5",".",".",".",".",".",".",".",".",".",".","."
"","310
001","67","3.799","67.2","25.4","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","23","3.609","43.5","34.8","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","Course Total","90","3.750","61.1","27.8","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","127","3.236","7.9","45.7","33.9","11.0","1.6",".",".",".",".",".",".",".",".",".",".","."
"","312
002","24","3.375","8.3","58.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Response-Hlth & Illness II","Course Total","151","3.258","7.9","47.7","33.8","9.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"","319
001","127","3.909","84.3","14.2","0.8","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","319
002","24","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","Course Total","151","3.897","81.5","17.2","0.7","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"","332
001","128","3.590","36.7","46.9","14.1","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
332","24","3.604","29.2","62.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","Course Total","152","3.592","35.5","49.3","13.2","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","401
001","128","3.512","35.9","40.6","15.6","7.0",".","0.8",".",".",".",".",".",".",".",".",".","."
"","401
002","23","3.522","47.8","30.4","8.7","4.3","8.7",".",".",".",".",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","Course Total","151","3.513","37.7","39.1","14.6","6.6","1.3","0.7",".",".",".",".",".",".",".",".",".","."
"","415
001","127","3.929","88.2","9.4","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","415
002","24","3.854","79.2","12.5","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","Course Total","151","3.917","86.8","9.9","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419
001","59","3.949","93.2","3.4","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Team Appr-Emergncy Care","448
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","449
001","64","3.867","78.1","18.8","1.6","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","449
002","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","Course Total","88","3.881","79.5","18.2","1.1","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"","470
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Primary Health Care-School","Course Total","3","***","","","","","","","","","","","","","","","",""
"Interdis Perspctvs End-of-Life","522
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
021","24","3.521","33.3","37.5","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","38","3.594","52.6","26.3","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Assessment","601
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613
010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
021","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 17, 2011","","","","","","","","","","","","","","","","","","Page 383 of 403",""
