"COMMUNICATIVE DISORDERS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","",""
"","799","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","60","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Iss: Diversity&Multicultr","805","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pediat Habilitatn/Rehabilitatn","836","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hearing Sci II: Adv Topics","851","001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amplification Systems I","856","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab in Amplification Systems I","857","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiolog Assess Audiology I","858","001","","10","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab-Physiol Assess Aud Sys I","859","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory & Vestibular Path II","862","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Implantbl Auditory Prostheses","863","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Processing Disorders","864","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice Management","865","001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amplification Systems II","866","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Audiology I","891","001","","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Audiology II","892","001","","8","3.688","62.5","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Audiology III","893","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Externship in Audiology","894","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","899","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","899","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","899","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","899","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Study in Audiology","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900","001","","11","3.948","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900","002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Speech Science","","Course Total","","21","3.972","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Prob in Audiology","921","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
