"HUMAN ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","",""
"510
Topics in Oncology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total","","2","***","","","","","","","","","","","","","","","",""
"910","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"922","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiation Oncology-CSC","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
