"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105
Health Care: Intrdis Appr","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"401
History of Pharmacy","001","","22","3.523","50.0","4.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"414
Pharmacy in Health Care System","001","","125","3.076","15.2","24.8","30.4","20.8","8.0","0.8",".",".",".",".",".",".",".",".",".","."
"490
Select Topics-Soc&Adm Phcy","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"511
Pharmacy Law and Regulation","001","","122","3.973","95.1","4.1","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"562
Byzantine Med & Pharmacy","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"652
Pharm Communicatn:Edu&Behav","001","","128","3.863","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","112","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"711
Eval-Pharmceut Serv, Prgm, Pol","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"716
Adv Hospital Phm Admin","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"999
Advanced Independent Study","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"S&A PHM
732","Dept. Total","","447","3.577","59.7","17.0","12.1","6.0","2.2","0.2",".","2.2",".",".",".",".","0.4",".",".","."
