"MEDICAL GENETICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"616
MD GENET","","","","","","","","","","","","","","","","","","",""
"Human Genetics","565
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Topics in Genetics","677
001","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Reading","699
064","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genetics of Development","707
001","16","3.344","31.3","31.3","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Genetic Counselng","714
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","721
001","148","3.953","95.3",".","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","721
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Medical Genetics","Course Total","150","3.943","94.7",".","4.7","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Pro Iss-Gen Cnslng","737
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genetics Counseling","770
001","10","3.550","50.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Pract-Genetic Counselng","814
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
048","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","5","***","","","","","","","","","","","","","","","",""
"Seminar in Genetics","993
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","999
005","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MD GENET
616","Dept. Total","237","3.849","84.8","4.6","6.3","1.3","0.8",".",".","2.1",".",".",".",".",".",".",".","."
