"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"332
Pharmaceutical Biochemistry","001","","103","2.966","20.4","11.7","35.0","14.6","14.6","3.9",".",".",".",".",".",".",".",".",".","."
"333","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"333","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"333","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"333","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmaceutical Biochem Lab","Course Total","","14","3.615","64.3",".","21.4",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"353
Biopharmaceutics","001","","125","2.920","12.8","21.6","22.4","28.0","12.8","2.4",".",".",".",".",".",".",".",".",".","."
"471
Pharmacology I","001","","124","2.722","12.1","12.9","31.5","10.5","27.4","3.2","2.4",".",".",".",".",".",".",".",".","."
"473
Pharmacology III","001","","117","3.349","30.8","21.4","36.8","6.8","3.4",".",".","0.9",".",".",".",".",".",".",".","."
"474
Pharmacology IV","001","","117","2.970","12.8","17.1","37.6","16.2","14.5","0.9",".","0.9",".",".",".",".",".",".",".","."
"557
Contemporary Pharmacy Pract","001","","107","3.238","27.1","24.3","34.6","6.5","3.7","2.8","0.9",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmacology","001","","8","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"626
Toxicology II","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","16","3.940","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"732
Selected Topics in Med Chem","001","","25","3.920","88.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"766
Equilibria in Phm Systems","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"774
Interfacial&Colloidl Phenom","001","","15","3.808","66.7","6.7","13.3",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"891
Chem-Biology Interface II","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Topic:Chem-Biol Intrface II","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"932","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"932","002","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"932","003","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"932","004","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conference-Research Workers","Course Total","","65","4.000","89.2",".",".",".",".",".",".","10.8",".",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 361 of 375",""
