"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Gastrointestnl Pharmacother","722
001","","19","3.421","36.8","15.8","42.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Renal Pharmacotherapy","723
001","","20","3.275","35.0","10.0","35.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Immunology Pharmacotherapy","725
001","","20","3.300","20.0","35.0","35.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Neuropsych Pharmacotherapy","727
001","","20","3.550","45.0","30.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","740
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","740
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmacy Specialty Clerkshp","Course Total","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","741
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Drug Information Clerkship","742
001","","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","743
006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","743
007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","743
008","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medicatn Use Policy Clrkshp","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chron Ill Chld","746
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
005","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
006","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
007","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Pharmacy Specialty Clrk","Course Total","","28","3.875","85.7","10.7",".",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","761
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
007","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Ambltry Phmct Care Clrk","Course Total","","21","3.963","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","771
002","","19","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Conf Rsch Wrkrs-Clin Pharm","Course Total","","32","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","962
001","","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
027","","8","3.917","62.5","12.5",".",".",".",".",".",".",".",".",".","25.0",".",".",".","."
