"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"799","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"811
Assess Mthd-Speech/Lang Dis","001","","13","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"819
Deviant Phonologal Acquistn","001","","38","3.961","92.1","7.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840
Lang Probs-Schl Age Chldrn","001","","24","3.854","87.5",".","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"900
Seminar-Speech Science","001","","23","3.906","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","001","","18","3.556","38.9","33.3","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","002","","16","3.367","18.8","31.3","43.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Seminar-Speech Pathology","Course Total","","34","3.470","29.4","32.4","35.3",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"913
Smr-Prob in Voice Disorders","001","","9","4.000","77.8",".",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"920
Seminar-Auditory Disorders","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Smr-Prob in Audiology","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"922
Smr-Experimental Audiology","001","","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"923
Hearing Conservatn-Industry","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","19","4.000","84.2",".",".",".",".",".",".","10.5",".",".",".","5.3",".",".",".","."
"999","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","5","***","","","","","","","","","","","","","","","",""
