"POLITICAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"443
Public Administration","001","","36","3.639","69.4","11.1","5.6","5.6","8.3",".",".",".",".",".",".",".",".",".",".","."
"471
Civil Liberties in the U S","001","","69","3.081","21.7","13.0","44.9","8.7","7.2",".","2.9","1.4",".",".",".",".",".",".",".","."
"472
Politics of Pressure Groups","001","","32","3.391","12.5","56.3","28.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"479
Political Communications","001","","26","2.909","19.2","19.2","26.9","11.5","11.5","3.8","3.8","3.8",".",".",".",".",".",".",".","."
"502
Dev Mod West Pol Thought","001","","60","3.455","35.0","38.3","16.7","6.7",".",".","1.7",".",".",".",".",".",".","1.7",".","."
"505
Challenge of Democratizatn","001","","21","3.398","38.1","33.3","23.8",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"517
Feminist Political Theory","001","","25","3.253","28.0","28.0","16.0","24.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"518
Conservatv Politicl Thought","001","","40","3.075","15.0","35.0","17.5","10.0","12.5",".","2.5","2.5",".",".",".",".",".","5.0",".","."
"544
Intro to Survey Research","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"552
Quantitative Anal-Pol Data","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"622
European Politics","001","","40","3.474","47.5","22.5","17.5","5.0","2.5",".","2.5",".",".",".",".",".",".","2.5",".","."
"633
Russian Politics","001","","31","2.984","12.9","22.6","35.5","19.4","6.5",".","3.2",".",".",".",".",".",".",".",".","."
"639
Politics of Southeast Asia","001","","17","3.170","29.4","29.4","17.6",".","5.9",".","5.9","5.9",".",".",".",".",".",".",".","5.9"
"653
Politics-Developing Areas","001","","43","2.788","16.3","14.0","18.6","30.2","14.0","7.0",".",".",".",".",".",".",".",".",".","."
"682","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"684
Senior Honors Thesis Smr","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"691","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","8","3.864","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5"
"695","001","","9","3.333","33.3","22.2","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"695","040","","9","3.444","44.4","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"695","042","","20","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prosem: Topics in Poli Sci","Course Total","","38","3.553","44.7","28.9","18.4","7.9",".",".",".",".",".",".",".",".",".",".",".","."
"698","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","145","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","7","3.778","71.4",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","14.3"
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 270 of 375",""
