"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Clinical Med-Phy Asst II","401
001","16","3.344","18.8","43.8","31.3",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","415
003","21","3.571","42.9","38.1","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","004
415","24","3.604","33.3","54.2","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Pharm Externship","Course Total","45","3.589","37.8","46.7","11.1","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"Team Appr-Emergncy Care","448
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Computr Applic Phmcy Pract","470
001","17","3.618","58.8","23.5","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","490
001","29","3.241","27.6","20.7","31.0","13.8","6.9",".",".",".",".",".",".",".",".",".",".","."
"","490
002","29","3.293","27.6","27.6","27.6","10.3","6.9",".",".",".",".",".",".",".",".",".",".","."
"","003
490","26","3.000","19.2","15.4","34.6","23.1","3.8",".","3.8",".",".",".",".",".",".",".",".","."
"","490
004","33","3.348","42.4","15.2","18.2","18.2","6.1",".",".",".",".",".",".",".",".",".",".","."
"","490
005","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","126","3.333","34.9","18.3","25.4","15.1","5.6",".","0.8",".",".",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","001
550","18","3.278","22.2","33.3","27.8","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Therapeut&Cl Phrmcokinetics","660
001","107","2.967","9.3","22.4","33.6","25.2","8.4",".","0.9",".",".",".",".",".",".",".",".","."
"","662
003","24","3.250","45.8","29.2","4.2","4.2","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","662
004","20","3.575","50.0","35.0","5.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Inpatient Clerkshp&Extrnshp","Course Total","44","3.398","47.7","31.8","4.5","2.3","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","663
003","19","3.661","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","663
004","11","3.733","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Outpatient Clerkship","Course Total","30","3.685","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","664
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","664
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","666
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","666
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","666
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","666
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Inpatient Clerkshp","Course Total","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670
001","13","3.905","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
073","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
074","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","18","3.845","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geriatric Pharmacotherapy","710
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Respiratory Pharmacotherapy","720
001","20","3.525","35.0","35.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cardiovasclr Pharmacotherpy","721
001","19","3.579","42.1","36.8","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
