"MEDICAL HISTORY AND BIOETH Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","",""
"Health, Disease&Healing II","508","001","","9","3.466","33.3","22.2","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523","001","","10","3.500","50.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Women & Health-Amer History","531","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Iss-Latin Amer:Hist","551","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethical Probs-Biomed Tech","558","001","","14","3.393","28.6","28.6","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Study in Med History","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Hist Perspectives-Medicine","720","001","","69","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Hist Issues-Modern Amer Med","725","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethical Issues in Medicine","730","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading and Research","890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Law, Sci & Biotechnolgy Smr","906","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","999","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"MED HIST
452","","Dept. Total","","125","3.425","18.4","8.8","13.6","1.6",".","0.8",".","56.8",".",".",".",".",".",".",".","."
