"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Contemporary Amer Society","125
001","84","2.633","19.0","6.0","23.8","4.8","36.9","6.0","2.4",".",".",".",".",".",".","1.2",".","."
"Social Problems","130
001","85","3.393","20.0","47.1","24.7","4.7","2.4",".",".","1.2",".",".",".",".",".",".",".","."
"Criminal Justice in America","131
001","101","3.114","9.9","32.7","35.6","17.8","3.0",".","1.0",".",".",".",".",".",".",".",".","."
"","134
001","97","2.895","12.4","26.8","22.7","16.5","12.4","6.2","1.0","2.1",".",".",".",".",".",".",".","."
"","134
002","120","3.333","31.7","26.7","22.5","8.3","8.3",".",".","2.5",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","Course Total","217","3.105","23.0","26.7","22.6","12.0","10.1","2.8","0.5","2.3",".",".",".",".",".",".",".","."
"","001
138","92","3.611","52.2","25.0","16.3","3.3",".",".","1.1","1.1",".",".",".",".",".","1.1",".","."
"","138
002","14","3.571","50.0","28.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"The Sociology of Gender","Course Total","106","3.607","51.9","25.5","16.0","2.8","0.9",".","0.9","0.9",".",".",".",".",".","0.9",".","."
"","140
001","15","2.700","26.7","13.3","6.7","20.0","20.0","6.7","6.7",".",".",".",".",".",".",".",".","."
"","140
002","26","3.346","34.6","30.8","23.1",".","7.7","3.8",".",".",".",".",".",".",".",".",".","."
"Intro-Rural Sociology","Course Total","41","3.110","31.7","24.4","17.1","7.3","12.2","4.9","2.4",".",".",".",".",".",".",".",".","."
"","160
001","123","3.080","26.0","10.6","31.7","8.9","9.8","2.4","1.6","8.9",".",".",".",".",".",".",".","."
"","002
160","48","2.880","14.6","25.0","16.7","18.8","14.6","4.2","2.1","4.2",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","Course Total","171","3.033","22.8","14.6","27.5","11.7","11.1","2.9","1.8","7.6",".",".",".",".",".",".",".","."
"Hnrs Smr:Sociolgl Enterprse","181
001","17","3.824","64.7","35.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","198
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","198
046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"","199
016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
046","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","21","3.948","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","106","3.358","35.8","23.6","25.5","8.5","5.7","0.9",".",".",".",".",".",".",".",".",".","."
"Gender & Work-Rural America","215
001","19","2.889","10.5","5.3","57.9","5.3","10.5","5.3",".","5.3",".",".",".",".",".",".",".","."
"Food, Culture, and Society","222
001","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","001
236","15","3.567","33.3","53.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Envir, Nat Rsrce & Communty","248
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Organizations and Society","250
001","30","3.482","33.3","30.0","23.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","9","3.444","66.7","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","32","3.484","34.4","31.3","28.1",".","3.1",".",".",".",".",".",".",".",".",".",".","3.1"
"Honors Tutorial","288
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357
001","44","3.205","27.3","27.3","25.0","9.1","9.1",".","2.3",".",".",".",".",".",".",".",".","."
"","357
002","39","3.397","23.1","43.6","25.6","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"","357
003","37","3.365","29.7","29.7","29.7","5.4","5.4",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","120","3.317","26.7","33.3","26.7","6.7","5.8",".","0.8",".",".",".",".",".",".",".",".","."
"Dsgn&Analysis-Social Rsch","001
358","33","3.453","33.3","30.3","27.3","3.0","3.0",".",".",".",".",".",".",".",".","3.0",".","."
"Statis Analysis-Social Rsch","359
001","34","3.212","17.6","38.2","17.6","14.7","8.8",".",".",".",".",".",".",".",".","2.9",".","."
"Stats for Sociologists I","360
001","33","3.076","21.2","24.2","27.3","15.2","9.1",".","3.0",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361
001","44","3.779","65.9","20.5","11.4",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362
001","17","3.353","35.3","17.6","35.3","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"Computing-Sociologcl Resrch","365
001","23","3.804","82.6","13.0",".",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 287 of 375",""
