"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","232","2.630","9.9","15.9","18.5","12.1","31.0","6.0","1.3","3.4","0.4",".",".",".",".","0.4","0.9","."
"","102
001","15","3.500","33.3","33.3",".","6.7","6.7",".",".","20.0",".",".",".",".",".",".",".","."
"","102
002","19","3.769","52.6","5.3","5.3","5.3",".",".",".","31.6",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","34","3.640","44.1","17.6","2.9","5.9","2.9",".",".","26.5",".",".",".",".",".",".",".","."
"","111
001","19","3.844","68.4","5.3","10.5",".",".",".",".","15.8",".",".",".",".",".",".",".","."
"","111
002","14","3.875","71.4","7.1","7.1",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","111
003","23","3.794","56.5","4.3","13.0",".",".",".",".","26.1",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","Course Total","56","3.833","64.3","5.4","10.7",".",".",".",".","19.6",".",".",".",".",".",".",".","."
"Adapted Fitness&Pers Traing","125
001","54","3.850","14.8","1.9","1.9",".",".",".",".","77.8",".",".",".",".",".","1.9","1.9","."
"","001
127","24","3.208","8.3","12.5","20.8","8.3",".",".",".","50.0",".",".",".",".",".",".",".","."
"","127
002","14","3.200",".","42.9","21.4",".","7.1",".",".","28.6",".",".",".",".",".",".",".","."
"","127
003","15","3.318",".","46.7","26.7",".",".",".",".","26.7",".",".",".",".",".",".",".","."
"","127
004","11","3.333","9.1","18.2","27.3",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"","127
005","20","3.321","15.0","25.0","20.0","10.0",".",".",".","30.0",".",".",".",".",".",".",".","."
"","127
006","17","3.231","11.8","29.4","17.6","17.6",".",".",".","23.5",".",".",".",".",".",".",".","."
"Bowling I","Course Total","101","3.265","7.9","27.7","21.8","6.9","1.0",".",".","34.7",".",".",".",".",".",".",".","."
"","129
001","22","3.917","68.2","13.6",".",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"","129
002","25","3.935","84.0","4.0","4.0",".",".",".",".","4.0",".",".",".",".",".","4.0",".","."
"Intro to Yoga Practice","Course Total","47","3.927","76.6","8.5","2.1",".",".",".",".","10.6",".",".",".",".",".","2.1",".","."
"Running (Aerobic Fitness)","001
130","17","3.462","41.2","5.9","17.6","5.9","5.9",".",".","23.5",".",".",".",".",".",".",".","."
"","131
001","14","3.300","21.4","14.3","28.6",".","7.1",".",".","28.6",".",".",".",".",".",".",".","."
"","003
131","12","3.000","8.3","41.7","8.3","8.3","8.3","8.3",".","16.7",".",".",".",".",".",".",".","."
"","131
004","17","3.273",".","35.3","29.4",".",".",".",".","29.4",".",".",".",".",".","5.9",".","."
"Cross Traing-Basic Fitness","Course Total","43","3.194","9.3","30.2","23.3","2.3","4.7","2.3",".","25.6",".",".",".",".",".","2.3",".","."
"","132
001","23","3.361","13.0","30.4","34.8",".",".",".",".","21.7",".",".",".",".",".",".",".","."
"","132
002","20","3.417","20.0","15.0","20.0","5.0",".",".",".","40.0",".",".",".",".",".",".",".","."
"","003
132","19","3.344","5.3","52.6","21.1","5.3",".",".",".","15.8",".",".",".",".",".",".",".","."
"","004
132","19","3.600","26.3","42.1","10.5",".",".",".",".","21.1",".",".",".",".",".",".",".","."
"","005
132","18","3.533","33.3","33.3","11.1",".","5.6",".",".","16.7",".",".",".",".",".",".",".","."
"","132
006","20","3.500","25.0","35.0","5.0","10.0",".",".",".","25.0",".",".",".",".",".",".",".","."
"","132
007","20","3.467","25.0","30.0","10.0","10.0",".",".",".","25.0",".",".",".",".",".",".",".","."
"","132
008","25","3.542","16.0","20.0","12.0",".",".",".",".","48.0","4.0",".",".",".",".",".",".","."
"","132
009","15","3.750","20.0",".","6.7",".",".",".",".","60.0","6.7",".",".",".",".","6.7",".","."
"","132
010","18","3.667","27.8","33.3","5.6",".",".",".",".","27.8","5.6",".",".",".",".",".",".","."
"","132
011","24","3.472","16.7","37.5","20.8",".",".",".",".","20.8","4.2",".",".",".",".",".",".","."
"Weight Training","Course Total","221","3.490","20.4","30.3","14.9","2.7","0.5",".",".","29.0","1.8",".",".",".",".","0.5",".","."
"","133
001","28","3.050",".","14.3","14.3","3.6","3.6",".",".","60.7",".",".",".",".",".","3.6",".","."
"","133
002","19","3.429","15.8","42.1","10.5",".","5.3",".",".","26.3",".",".",".",".",".",".",".","."
"","133
003","16","3.250","12.5","25.0","6.3","18.8",".",".",".","37.5",".",".",".",".",".",".",".","."
"","133
004","21","3.750","38.1","9.5","9.5",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"","133
005","20","3.643","30.0","30.0","10.0",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"","133
006","25","3.676","36.0","20.0","12.0",".",".",".",".","32.0",".",".",".",".",".",".",".","."
"","007
133","16","2.958","6.3",".","56.3","6.3","6.3",".",".","25.0",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","145","3.427","20.0","20.0","15.9","3.4","2.1",".",".","37.9",".",".",".",".",".","0.7",".","."
