"PHARMACOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","",""
"626
Toxicology II","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699
Independent Study","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"711
Neurotrns Recptr/Ion Channl","001","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"875","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Pharmacology","Course Total","","9","3.750","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Seminar & Journal Club","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920
Treatment-Cancer Pain-CSC","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","14","3.800","35.7","7.1","7.1",".",".",".",".","42.9",".",".",".","7.1",".",".",".","."
