"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","","33","3.448","45.5","12.1","21.2","6.1",".",".","3.0","9.1",".",".",".",".",".","3.0",".","."
"Introduction-Social Policy","206
001","","173","3.240","21.4","41.0","16.2","11.0","6.9","1.2","1.2",".",".",".",".",".",".","0.6",".","0.6"
"Field Pract/Integrat Smr I","400
014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
014","","10","3.907","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
018","","9","3.775","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
027","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","037
401","","12","3.873","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
039","","8","3.947","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
045","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
055","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
070","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","","83","3.929","89.2","7.2","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Corrections & Crime Control","445
001","","32","3.375","25.0","34.4","31.3","9.4",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","","215","2.691","9.8","14.0","22.3","28.4","15.3","5.1","2.3","2.8",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","","104","3.481","51.9","17.3","16.3","8.7","2.9",".","1.9",".",".",".",".",".",".",".",".","1.0"
"Foster Care","576
001","","15","3.221","53.3","6.7","20.0","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Social Policy","606
001","","55","3.718","56.4","30.9","12.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work with the Person","622
001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work with the Family","623
001","","26","3.766","65.4","26.9","3.8","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Social Wrk with Small Group","624
001","","29","3.963","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work with Community","626
001","","13","3.767","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","","92","3.896","81.5","14.1","3.3",".",".",".",".",".",".",".",".",".",".",".",".","1.1"
"","642
001","","25","3.420","40.0","20.0","28.0","8.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"","642
002","","16","4.000","93.8",".",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Social Work and Adolescents","Course Total","","41","3.586","61.0","12.2","17.1","4.9","2.4",".",".","2.4",".",".",".",".",".",".",".","."
"Soc Welfare-Devel Disabilts","644
001","","39","3.454","41.0","38.5","10.3","7.7",".",".","2.6",".",".",".",".",".",".",".",".","."
"","646
001","","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
002","","29","3.655","58.6","31.0",".","3.4","6.9",".",".",".",".",".",".",".",".",".",".","."
"Child Abuse and Neglect","Course Total","","53","3.763","75.5","17.0","1.9","1.9","3.8",".",".",".",".",".",".",".",".",".",".","."
"Methods-Social Wrk Research","650
001","","63","3.333","39.7","19.0","27.0","3.2","9.5",".","1.6",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","664
001","","17","3.706","70.6","5.9","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","677
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 284 of 375",""
