"THERAPEUTIC SCI (DEPT-KINES Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100","001","","52","3.615","71.2","7.7","9.6","3.8","5.8",".","1.9",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105","001","","7","3.875","42.9","14.3",".",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"Medical Terminology","148","001","","51","3.922","90.2","3.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ther Procedures I","421","001","","60","3.217","16.7","30.0","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","428","001","","30","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","428","002","","30","3.333","3.3","63.3","30.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Decision Making","","Course Total","","60","3.375","10.0","56.7","31.7","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Therapeutic Exercise I","434","001","","60","3.233","10.0","43.3","38.3","3.3","3.3","1.7",".",".",".",".",".",".",".",".",".","."
"","475","001","","59","3.873","81.4","11.9","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","003","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","004","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","005","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","006","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","119","3.958","90.8","5.9","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Pro Practice&Adm","512","001","","59","3.915","83.1","16.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatn-Pediatric Disordrs","534","001","","44","3.477","27.3","45.5","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Therapeutic Exercise III","536","001","","59","3.780","59.3","37.3","3.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship-Pediatrc Occ Ther","537","001","","43","3.767","72.1","16.3","7.0","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"","539","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","539","002","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","539","003","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","539","004","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Phy Ther Clin Practice I","","Course Total","","60","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clerkshp-Independent Living","544","001","","45","3.678","51.1","33.3","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatns-Independnt Living","545","001","","45","3.489","31.1","37.8","28.9","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","546","001","","12","3.208","16.7","16.7","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","546","002","","15","3.233","6.7","33.3","60.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adp&Cnst Eqp-Peopl/Disbilts","","Course Total","","27","3.222","11.1","25.9","59.3","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Scientific Inquiry","570","001","","45","3.678","53.3","28.9","17.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Management","636","001","","44","3.318","6.8","56.8","29.5","6.8",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatn-Phys Disablties II","640","001","","44","3.716","59.1","27.3","11.4","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship-Phys Disabilities","641","001","","43","3.709","67.4","18.6","7.0","2.3","4.7",".",".",".",".",".",".",".",".",".",".","."
"Fieldwork in Mental Health","662","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Phy Ther Mgmnt Strategy","665","001","","60","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","670","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","670","003","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Advanced Fieldwork","","Course Total","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Musc-skel Assessmt/Treatmt","677","001","","59","3.119","11.9","25.4","45.8","8.5","8.5",".",".",".",".",".",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
