"BUS","","","","","","","","","","","","","","","","","","",""
"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","207","2.855","15.0","9.2","38.2","14.5","18.8","1.0","1.9","1.4",".",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","399
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Liability Risk Management","615
001","44","3.326","29.5","9.1","56.8",".","2.3",".",".","2.3",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620
001","31","3.129","16.1","16.1","51.6","9.7","6.5",".",".",".",".",".",".",".",".",".",".","."
"Government Insurance Progs","625
001","14","3.393","28.6","35.7","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Risk Mgmt Info Systems","820
001","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Risk Managemnt&Insuranc","875
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","3","***","","","","","","","","","","","","","","","",""
"R M I
241","Dept. Total","317","3.024","21.5","11.4","39.4","11.0","13.2","0.6","1.3","1.6",".",".",".",".",".",".",".","."
