"COMMUNICATIVE DISORDERS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","","76","3.033","28.9","13.2","28.9","9.2","13.2","5.3","1.3",".",".",".",".",".",".",".",".","."
"Introduction to Phonetics","200","001","","50","3.714","68.0","8.0","20.0",".","2.0",".",".","2.0",".",".",".",".",".",".",".","."
"Speech Science","201","001","","55","2.836","3.6","16.4","49.1","16.4","9.1","5.5",".",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","","51","3.186","21.6","31.4","27.5","9.8","5.9","3.9",".",".",".",".",".",".",".",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","","74","3.521","47.3","29.7","8.1","9.5",".","1.4","1.4","2.7",".",".",".",".",".",".",".","."
"Speech Pathology II","318","001","","69","3.275","17.4","30.4","42.0","10.1",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Audiology","320","001","","70","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","","33","3.894","78.8","21.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Comm Disorders","390","001","","20","3.825","85.0",".","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Manually Coded English-SL I","424","001","","18","3.906","83.3",".",".","5.6",".",".",".","11.1",".",".",".",".",".",".",".","."
"Auditory Rehabilitation","425","001","","77","3.558","33.8","54.5","7.8","2.6",".",".","1.3",".",".",".",".",".",".",".",".","."
"Manual Coded English-SL II","434","001","","12","3.400","66.7",".",".",".","8.3",".","8.3","16.7",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","","59","3.297","42.4","10.2","27.1","11.9","6.8",".","1.7",".",".",".",".",".",".",".",".","."
"Lang&Learn Disordrs-Childrn","640","001","","30","3.817","63.3","36.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Practicum in Com Dis","692","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","21","3.957","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Audiol-Speech/Lang Pathlgst","700","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dysarthria","711","001","","50","3.710","42.0","58.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnostic Audiology II","721","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Auditory Rehabilitation II","722","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Electrophysiolog Audiometry","729","001","","11","3.650","45.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"Supervision-Comm Disorders","751","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","","19","3.900","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","","12","3.962","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","","12","3.938","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","005","","17","3.929","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","006","","16","3.857","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Com Disorders","","Course Total","","84","3.914","85.7","11.9","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 183 of 375",""
