"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Structure of Amer Industry","461","001","","16","2.906","18.8","18.8","12.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".","."
"American Economy Since 1865","466","001","","25","3.240","20.0","28.0","36.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Intl Industrial Firms&Orgs","467","001","","21","3.167","28.6","14.3","38.1","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","","32","3.233","21.9","31.3","34.4","6.3",".",".","3.1","3.1",".",".",".",".",".",".",".","."
"Wealth and Income","508","001","","6","3.522","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Sector Bargaining","539","001","","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics of Health Care","548","001","","24","3.005","16.7","29.2","20.8","12.5","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"Mathematical Economics II","606","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Institutional Economics","707","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Econ Stats & Econometrics 2","710","001","","37","3.297","24.3","16.2","56.8",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"","713","001","","20","3.325","30.0","25.0","35.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","713","002","","19","3.395","26.3","26.3","47.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Microeconomics Seqnce","","Course Total","","39","3.359","28.2","25.6","41.0",".","5.1",".",".",".",".",".",".",".",".",".",".","."
"","714","001","","12","3.409","16.7","50.0","16.7","8.3",".",".",".","8.3",".",".",".",".",".",".",".","."
"","714","002","","16","3.156","12.5","25.0","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","","Course Total","","28","3.259","14.3","35.7","32.1","14.3",".",".",".","3.6",".",".",".",".",".",".",".","."
"Econometric Methods","716","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Applied Econometrics","718","001","","17","3.300","35.3","23.5","17.6","5.9",".",".","5.9","5.9",".",".",".",".",".",".",".","5.9"
"Public Finance & Fiscal Pol","742","001","","10","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"State,Local&Intergovmt Econ","745","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Institutn Aspect-Labor Econ","751","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Industrial Organizat Theory","761","001","","11","3.800","54.5","36.4",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Development Planning & Adm","772","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics - Public Finance","846","001","","7","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-International Economics","873","002","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Econ Dev-Thy Stat & Policy","878","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Quantitative Econ Policy","880","001","","30","3.338","16.7","40.0","43.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Economic Theory","902","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","904","001","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop in Econometrics","914","001","","18","2.000",".",".",".",".","5.6",".",".","94.4",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","956","001","","21","",".",".",".",".",".",".",".","95.2","4.8",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","966","001","","26","",".",".",".",".",".",".",".","96.2",".",".",".",".",".",".",".","3.8"
"Workshop - Public Economics","969","001","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrkshp-Internatl Economics","978","001","","22","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 195 of 375",""
