"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","",""
"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"Hum Muscl Func/Hlth&Disease","779
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
003","","35","3.557","28.6","54.3","17.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
812","","38","3.618","34.2","57.9","5.3","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Neurology","Course Total","","73","3.589","31.5","56.2","11.0","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Neuromusc Disease Clerk-CSC","924
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch-Neurological Fields","990
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"NEUROL
676","Dept. Total","","78","3.597","30.8","53.8","10.3","1.3",".",".",".",".",".","3.8",".",".",".",".",".","."
