"","775
023","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","775
026","3","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","775
029","2","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","775
030","3","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Externship","Course Total","31","4.000","3.2",".",".",".",".",".","",".","96.8","",".",".","",".","",".","",".",".",".","."
"MED SC-V
623","Dept. Total","852","3.111","17.6","4.8","6.3","0.7","3.5","0.1","",".","66.9","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","","","","","",""
"Graduate","","2","4.000","50.0",".",".",".",".",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","182","3.565","12.6","21.4","7.7",".",".",".","",".","58.2","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","82","",".",".",".",".",".",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","196","2.605","1.0","1.0","20.4","3.1","15.3","0.5","",".","58.7","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","390","4.000","31.8",".",".",".",".",".","",".","68.2","",".",".","",".","",".","",".",".",".","."
"Professionals","","850","3.108","17.5","4.8","6.4","0.7","3.5","0.1","",".","66.9","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","852","3.111","17.6","4.8","6.3","0.7","3.5","0.1","",".","66.9","",".",".","",".","",".","",".",".",".","."
