"MED","","","","","","","","","","","","","","","","","","","","",""
"","OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","",""
"","812","003","","37","3.676","40.5","54.1","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812","004","","35","3.643","31.4","65.7","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Obs & Gynecology","","Course Total","","72","3.660","36.1","59.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Inpt-Outpt Clerk-Marshfield","922","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Perinatal Clerkship-Milw","923","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"ObGyn Outptnt Clrk-LaCrosse","928","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"OBS&GYN
436","","Dept. Total","","77","3.651","36.4","57.1","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
