"L&S","","","","","","","","","","","","","","","","","","",""
"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","80","3.269","27.5","32.5","22.5","11.3","2.5","2.5","1.3",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","68","3.044","4.4","38.2","32.4","14.7","8.8","1.5",".",".",".",".",".",".",".",".",".","."
"","400
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
007","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
400","12","3.923","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
400","15","3.823","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
400","9","3.821","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
400","15","3.931","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
400","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
013","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
400","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
102","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
201","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","127","3.923","86.6","11.8","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Poverty and Social Welfare","420
001","18","3.167","11.1","50.0","22.2","5.6","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"Social Issues in Aging","422
001","19","3.553","36.8","36.8","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
001","52","3.837","73.1","23.1","1.9","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","441
002","39","3.910","84.6","12.8","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
441","13","3.500","23.1","61.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","011
441","13","3.846","76.9","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","441
020","10","3.550","50.0","30.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Prac II: Individls, Fam, Grps","Course Total","127","3.803","70.1","23.6","3.9","1.6","0.8",".",".",".",".",".",".",".",".",".",".","."
"","442
001","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
002","31","3.968","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
442","29","3.897","79.3","20.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac III: Generalist-Comm&Orgs","Course Total","90","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","94","3.633","48.9","35.1","10.6","4.3","1.1",".",".",".",".",".",".",".",".",".",".","."
"Child Welfare","462
001","22","3.364","45.5","36.4","4.5",".","4.5","4.5","4.5",".",".",".",".",".",".",".",".","."
"Family Violence","523
001","27","3.250","29.6","18.5","29.6","7.4","11.1",".",".","3.7",".",".",".",".",".",".",".","."
"","605
001","57","3.598","38.6","42.1","15.8","1.8",".",".",".",".",".",".",".",".",".",".","1.8","."
"","010
605","30","3.867","76.7","20.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","020
605","6","3.000","33.3",".",".","66.7",".",".",".",".",".",".",".",".",".",".",".","."
"The Field of Social Work","Course Total","93","3.647","50.5","32.3","10.8","5.4",".",".",".",".",".",".",".",".",".",".","1.1","."
"","606
010","30","3.621","40.0","40.0","16.7",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"","606
020","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Policy","Course Total","35","3.618","40.0","40.0","17.1",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Ethnic and Racial Groups","640
001","80","3.550","38.8","42.5","15.0","2.5",".",".","1.3",".",".",".",".",".",".",".",".","."
"Social Work and Adolescents","001
642","18","3.147","5.6","55.6","22.2","5.6",".",".","5.6",".",".",".",".",".","5.6",".",".","."
"Issues in Dev. Disabilities","644
001","26","3.962","96.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
001","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
646","14","3.571","35.7","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
020","4","***","","","","","","","","","",".",".",".",".",".",".","."
