"MED","","","","","","","","","","","","","","","","","","","",""
"OBSTETRICS AND GYNECOLOG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","",""
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","100","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","51","4.000","96.1",".",".",".",".",".",".",".",".",".",".",".",".",".","3.9","."
"812","061","","21","3.167","9.5","14.3","76.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","18","3.306","16.7","33.3","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","17","3.469","35.3","17.6","41.2",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"812","064","","24","3.457","41.7","8.3","41.7","4.2",".",".",".",".",".",".",".",".","4.2",".",".","."
"3rd Year Obs & Gynecology","Course Total","","80","3.346","26.3","17.5","51.3","2.5",".",".",".",".",".",".",".",".","2.5",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","2","***","","","","","","","","","","","","","","","",""
"921","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gynecol Oncology Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"925","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"925","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"High Risk Obst Clrk-Meriter","Course Total","","5","***","","","","","","","","","","","","","","","",""
"932","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Benign Gyn/UroGyn","Course Total","","2","***","","","","","","","","","","","","","","","",""
"954
Endocrinlgy-Reprodctve Phys","001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"955
Responsible Conduct","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".",".",".","5.6","."
