"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"Geriatric Elective","Course Total","","2","***","","","","","","","","","","","","","","","",""
"935","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Hematology/Oncology","Course Total","","3","***","","","","","","","","","","","","","","","",""
"938","041","","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"938","042","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"938","043","","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"938","044","","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Internship - Inpt-Med","Course Total","","69","3.841","71.0","26.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"940","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Allergy & Clinical Immunology","Course Total","","3","***","","","","","","","","","","","","","","","",""
"942
Clin Electrophys-Milwaukee","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"943","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"943","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"943","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"943","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiology Consultation Serv","Course Total","","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"945","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"945","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Acute Care Med Cardiol-Milw","Course Total","","2","***","","","","","","","","","","","","","","","",""
"949","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"949","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"AdultCarDiseaseClerk-Mshfld","Course Total","","2","***","","","","","","","","","","","","","","","",""
"951","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"951","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatory Cardiology","Course Total","","2","***","","","","","","","","","","","","","","","",""
"953","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"953","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dermatology Clerkship-CSC","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"954","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"954","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Dermatology Clerk-Marshfld","Course Total","","2","***","","","","","","","","","","","","","","","",""
"955
Hepatology","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"962","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
