"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEUROLOGICAL SURGERY","Section","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"678
NEURSURG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","699
001","","3","***","","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","699
002","","1","***","","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","699
005","","14","4.000","100.0","",".","",".",".","","",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"","699
006","","12","4.000","100.0","",".","",".",".","","",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"","699
007","","1","***","","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","699
011","","8","4.000","100.0","",".","",".",".","","",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"","699
012","","3","***","","","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Neurosurg-Directed Study","Course Total","","42","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"NEURSURG
678","Dept. Total","","42","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"678
NEURSURG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","3","***","","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","19","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","19","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","42","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","42","4.000","100.0","",".","",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
