"KINESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","",""
"371
Mthds of Tchng Dance Gymnastcs","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375
Practicum in Phys Ed","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"390
Princpls-Exercise Leadershp","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"412
Org & Admin of Phy Ed","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"417
Adv Clinical Assessment in AT","001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"450","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"450","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Fld Exp in AT","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"475
Seminar-Athletic Training","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"478
Elem Sch Phy Ed Stdt Tchg","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"479
Secondary-Phys Ed Stdt Tchg","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"501
Health Info for Teachers","001","","61","3.746","67.2","18.0","11.5","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"508","001","","64","3.992","98.4","1.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"508","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Workshop in Kinesiology","Course Total","","67","3.992","98.5","1.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"516
Phys Act for Diverse Abilities","001","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"521
Physical Activity & Health","001","","24","3.771","54.2","45.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"525
Nutrition, Fitness and Health","001","","25","3.420","32.0","32.0","24.0","12.0",".",".",".",".",".",".",".",".",".",".",".","."
"527
Prin. Strength & Conditioning","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"561
Teacher Ed-Human Sexuality","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Advanced Exercise Psychology","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"615
Lab Tech-Exercise Physiol","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"618
Biomechanics","001","","18","3.611","50.0","22.2","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"690
Internship in Kinesiology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","15","3.971","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"713
Neural Basis-Norm&Path Mov","001","","18","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"785
Human Occupation and Health","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
