"PHM","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Cnsmr SelfCare&OverCountrDrugs","305
001","111","2.895","22.5","17.1","22.5","10.8","16.2","9.9",".",".",".",".",".",".",".",".","0.9","."
"Pharmacy Practice Experience I","425
001","150","3.987","99.3",".",".",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"","490
002","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
007","28","3.875","82.1","14.3",".","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","008
490","146","3.959","94.5","4.1","0.7",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"","490
010","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","202","3.948","93.6","5.0","0.5","0.5","0.5",".",".",".",".",".",".",".",".",".",".","."
"Intro-Phm Prac Experience III","525
033","148","3.973","96.6","2.7",".",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","550
001","78","3.570","44.9","19.2","23.1","2.6","1.3",".",".","7.7",".",".",".",".",".","1.3",".","."
"Pharmacotherapy Skills I","553
001","148","3.747","55.4","38.5","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy I","555
001","148","3.115","23.6","21.6","24.3","18.9","10.1","0.7","0.7",".",".",".",".",".",".",".",".","."
"Medical Imaging for Pharmacist","611
001","13","3.654","61.5","23.1","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Hlth Sys Pharm Analysis & Inf","617
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Nonprescrip Prod & Self-Care","638
001","123","3.732","56.9","33.3","8.9","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy Skills III","653
001","123","3.837","69.1","29.3","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy III","655
001","123","3.061","13.8","29.3","30.1","12.2","13.8",".","0.8",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670
001","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Academic Pharmacy I","671
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Cardiology","677
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
072","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
075","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
085","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
086","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
089","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
090","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","23","3.986","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
103","28","3.839","71.4","25.0","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
740","24","3.750","66.7","20.8","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","52","3.798","69.2","23.1","5.8","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","741
103","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
741","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","40","3.913","85.0","12.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","746
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
103","80","3.800","70.0","21.3","7.5","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","760
104","71","3.725","63.4","21.1","9.9","1.4",".","1.4",".",".",".",".",".",".","2.8",".",".","."
"","760
113","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
114","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","156","3.763","66.0","20.5","9.0","1.3",".","0.6",".",".",".",".",".",".","2.6",".",".","."
