"Grad Sem Hlth-System Pharmacy","961
001","8","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".",".",".",".","."
"","999
028","8","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".",".",".",".","."
"","999
049","1","***","","","","","","","","","","",".",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","9","3.944","88.9","11.1",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"PHM PRAC
728","Dept. Total","1739","3.638","64.9","17.7","9.1","3.6","3.2","0.7","0.1","0.3","",".",".","",".",".","0.2","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","63","2.960","33.3","15.9","11.1","14.3","12.7","12.7",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","48","3.208","35.4","16.7","27.1","4.2","12.5","4.2",".",".","",".",".","",".",".",".",".",".","."
"Junior","","20","3.550","50.0","20.0","20.0","10.0",".",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","","9","2.611","22.2","11.1","11.1",".","44.4","11.1",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","140","3.107","35.7","16.4","17.9","9.3","12.9","7.9",".",".","",".",".","",".",".",".",".",".","."
"Special","","4","***","","","","","","","","","","",".","",".",".",".",".","25.0","."
"Graduate","","20","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 1","","306","3.977","97.1","2.3","0.3",".","0.3",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","455","3.417","58.7","20.9","9.9","6.2","4.0","0.2","0.2",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","686","3.529","46.2","19.4","10.1","2.6","2.6",".","0.1","0.9","",".",".","",".","17.9",".","0.1",".","."
"Prof Yr 4","","251","3.804","70.9","19.5","6.4","1.2",".","0.4",".",".","",".",".","",".",".","1.6",".",".","."
"Professionals","","1698","3.674","62.4","16.7","7.7","2.9","2.2","0.1","0.1","0.4","",".",".","",".","7.2","0.2","0.1",".","."
"","Dept. Total","1862","3.638","60.6","16.5","8.5","3.3","3.0","0.7","0.1","0.3","",".",".","",".","6.6","0.2","0.1","0.1","."
