"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBSTETRICS AND GYNECOLOG Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN
Dept. Total
436","204","3.564","68.1","7.8","20.6","1.0","",".","",".","",".","",".","",".",".","",".","",".","1.0",".","1.5","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Junior","10","4.000","80.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".","20.0","."
"Senior","14","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","27","4.000","92.6",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".","7.4","."
"Special","2","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","61","3.995","96.7","1.6",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".","1.6","."
"Prof Yr 1","2","***","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 2","9","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","78","3.339","29.5","15.4","50.0","2.6","",".","",".","",".","",".","",".",".","",".","",".","2.6",".",".","."
"Prof Yr 4","27","3.758","77.8","11.1","11.1",".","",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Professionals","116","3.424","47.4","12.9","36.2","1.7","",".","",".","",".","",".","",".",".","",".","",".","1.7",".",".","."
"Dept. Total","206","3.564","68.4","7.8","20.4","1.0","",".","",".","",".","",".","",".",".","",".","",".","1.0",".","1.5","."
