"SURGICAL SCIENCES","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","",""
"Radiographic Anat-Dog&Cat","501","001","","89","3.994","98.9","1.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife","548","001","","10","3.250","40.0","10.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery","630","001","","89","3.140","24.7","14.6","39.3","9.0","11.2","1.1",".",".",".",".",".",".",".",".",".","."
"Small Animal Surgery Lab","632","001","","89","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Small Animal Anesthesia Lab","634","001","","89","",".",".",".",".",".",".",".","98.9",".",".",".",".","1.1",".",".","."
"Veterinary Diagnostic Imaging","638","001","","89","3.708","58.4","25.8","14.6","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"Large Animal Surgery","642","001","","31","4.000","16.1",".",".",".",".",".",".","83.9",".",".",".",".",".",".",".","."
"Small Orthopedic Surgery","644","001","","10","4.000","20.0",".",".",".",".",".",".","80.0",".",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","645","001","","32","4.000","31.3",".",".",".",".",".",".","37.5",".",".",".",".","3.1",".","28.1","."
"Veterinary Anesthesiology","646","001","","26","4.000","15.4",".",".",".",".",".",".","84.6",".",".",".",".",".",".",".","."
"Radiology Clinics","647","001","","35","4.000","31.4",".",".",".",".",".",".","68.6",".",".",".",".",".",".",".","."
"","675","001","","11","4.000","63.6",".",".",".",".",".",".","36.4",".",".",".",".",".",".",".","."
"","675","003","","10","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"","675","004","","7","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"","675","006","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"Special Topics","","Course Total","","35","4.000","37.1",".",".",".",".",".",".","11.4",".",".",".",".",".",".","51.4","."
"","699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Clinical Ophthalm Rotation","741","001","","24","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"Adv Anesthlgy/Crit Care Med","743","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Dentistry & Oral Surg Rotation","748","001","","11","4.000","54.5",".",".",".",".",".",".","27.3",".",".",".",".",".",".","18.2","."
"","775","001","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775","002","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775","003","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","775","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","","Course Total","","38","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Rsch Ethics&Career Development","812","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
