"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"","496","001","","39","3.568","35.9","48.7",".","7.7","2.6",".",".","2.6",".",".",".",".","2.6",".",".","."
"","496","002","","40","4.000","12.5",".",".",".",".",".",".",".",".",".",".",".",".","2.5","85.0","."
"","496","003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","005","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","496","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","","108","3.714","41.7","19.4","0.9","2.8","0.9",".",".","0.9",".",".",".",".","0.9","0.9","31.5","."
"Study Abroad in Sociology","497","00A","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Social Psychology","530","001","","10","3.250","10.0","50.0","30.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Public Hlth-Rural & Urban Comm","533","001","","19","3.667","52.6","26.3","10.5","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"Soc-Int'l Dev, Envir&Sustain","540","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspec-Life Course&Age","575","001","","18","3.588","61.1","11.1","11.1",".","11.1",".",".",".",".",".",".",".","5.6",".",".","."
"Poverty and Place","578","001","","20","2.971","30.0","10.0","5.0","25.0","5.0","10.0",".",".",".",".",".",".","15.0",".",".","."
"Community Development","617","001","","17","3.188","35.3","11.8","11.8","23.5","11.8",".",".",".",".",".",".",".","5.9",".",".","."
"Political Sociology","624","001","","21","3.194","33.3","19.0","19.0","4.8",".","4.8","4.8","14.3",".",".",".",".",".",".",".","."
"Social Movements","626","001","","16","3.344","43.8","25.0","18.8","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"Sociology of Organizations","632","001","","14","3.143","28.6","14.3","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Education","648","001","","10","3.444","30.0","30.0","20.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".","."
"Population and Society","663","001","","25","3.644","64.0","16.0","8.0","4.0",".","4.0",".","4.0",".",".",".",".",".",".",".","."
"Demographic Techniques I","674","001","","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","692","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","7","3.971","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Prosmr-Grad Students","700","001","","34","",".",".",".",".",".",".",".",".",".","97.1","2.9",".",".",".",".","."
"Research Methods-Sociology","750","001","","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey Methods-Social Rsch","751","001","","19","3.750","26.3","26.3",".",".",".",".",".","15.8",".",".",".",".","26.3",".","5.3","."
"Special Topics","875","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: Topics in Current Soc","901","001","","7","3.658","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Sociological Theory","915","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Race & Ethnic Relations","922","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc-Econ Chng-Underdev Area","925","001","","12","4.000","83.3",".",".",".",".",".",".","8.3",".",".",".",".","8.3",".",".","."
"Class Analysis&Hist Change","929","001","","15","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"Smr: Sociol-Econ Change","940","001","","6","4.000","83.3",".",".",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"Seminar: Environmental Sociol","948","001","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"","952","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","952","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","952","003","","10","3.750","20.0","20.0",".",".",".",".",".",".",".",".",".",".","60.0",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","","Page 319 of 423",""
