"HUMAN ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","",""
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","156","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","158","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","159","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total","","18","3.958","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"922","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiation Oncology-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"990
Rsch in Human Cancer Bio","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"H ONCOL
480","Dept. Total","","23","3.969","91.3",".","4.3",".",".",".",".",".",".",".",".","4.3",".",".",".","."
