"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"699","015","","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"699","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurol 699: Directed Research","Course Total","","37","3.975","94.6",".","2.7",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"812","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","041","","15","3.333","20.0","26.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","042","","17","3.375","23.5","23.5","47.1",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"812","043","","18","3.471","27.8","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"812","044","","14","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","045","","9","3.333","22.2","22.2","55.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neuroscience Core Clerkship","Course Total","","74","3.395","24.3","28.4","44.6",".",".",".",".",".",".",".",".",".","1.4",".",".","1.4"
"919","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","7","3.885","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
