"L&S","","","","","","","","","","","","","","","","","","","",""
"","GENDER AND WOMENS STUDIE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Gender Community Seminar","100","001","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Gender, Women & Society-Global","102","001","230","3.772","61.3","32.6","5.2","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","232","3.582","53.0","26.7","11.6","5.2","2.2","0.4","0.9",".",".",".",".",".",".",".",".","."
"Intro to LGBTQ+ Studies","200","001","107","3.236","21.5","37.4","20.6","10.3","3.7","2.8","0.9",".",".",".",".",".","0.9",".","1.9","."
"Intro-Black Women Writers","222","001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"German Women Writers-Tran","270","001","17","3.618","64.7","5.9","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Gender, Women & the Humanities","310","001","32","3.600","40.6","40.6","6.3","3.1","3.1",".",".",".",".",".",".",".","6.3",".",".","."
"Black Women in America","324","001","22","3.227","22.7","31.8","31.8","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"Black Feminisms","333","001","26","3.560","30.8","53.8","7.7",".","3.8",".",".",".",".",".",".",".","3.8",".",".","."
"Women & Gender in US to 1870","353","002","18","3.500","27.8","38.9","27.8",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Women&Gender in US Since 1870","354","001","29","3.724","51.7","44.8",".","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Disability and Gender in Film","371","001","36","3.800","77.8","16.7",".",".",".",".","2.8",".",".",".",".",".","2.8",".",".","."
"Contemp Fem Theatre&Critcsm","415","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women:Cross-Soc Perspective","420","001","36","3.208","22.2","22.2","41.7","8.3","2.8","2.8",".",".",".",".",".",".",".",".",".","."
"Contemp Feminist Theories","441","001","27","3.574","37.0","44.4","14.8","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"The Body in Theory","445","001","21","3.737","76.2","9.5",".",".",".",".","4.8",".",".",".",".",".","9.5",".",".","."
"Psychology of Women","522","001","22","2.886","9.1","4.5","54.5","18.2","13.6",".",".",".",".",".",".",".",".",".",".","."
"Biology and Gender","530","001","38","3.892","81.6","13.2",".","2.6",".",".",".",".",".",".",".",".","2.6",".",".","."
"Spec Topics-Women & Health","533","001","40","3.788","52.5","25.0","5.0",".",".",".",".",".",".",".",".",".","17.5",".",".","."
"Capstone Smr in Gender & Wm St","640","001","21","3.643","66.7","23.8","4.8",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","699","034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","790","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research & Thesis","","Course Total","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"Independent Research","799","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Study-Gen & Women's Study","880","001","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Feminist Political Theory","933","001","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
