"MED","","","","","","","","","","","","","","","","","","","",""
"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"712
Found. Infant Mental Health","001","","31","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"713
Reflective Practices IMH I","001","","31","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"714
ACP Consultation I","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"812","041","","16","3.406","31.3","18.8","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","042","","19","3.500","36.8","26.3","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","043","","17","3.531","35.3","29.4","29.4",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"812","044","","17","3.382","29.4","23.5","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"812","045","","8","3.500","37.5","25.0","12.5","12.5",".",".",".",".",".",".",".",".","12.5",".",".","."
"Third Year Psychiatry","Course Total","","77","3.460","33.8","24.7","36.4","2.6",".",".",".",".",".",".",".",".","2.6",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","9","3.929","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Behav Med Clerk-LaCrosse","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","Course Total","","5","***","","","","","","","","","","","","","","","",""
"925","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"925","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Psy Clerk-CSC/MHC","Course Total","","5","***","","","","","","","","","","","","","","","",""
"930","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Geriatric Psychiat Clrk-VAH","Course Total","","2","***","","","","","","","","","","","","","","","",""
"946","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
