"TERM : 1172","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2016-2017","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"CELL AND REGENERATIVE BIOL Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRB
Dept. Total
217","134","3.832","64.2","16.4","3.7","",".","",".","",".","",".","14.2","",".",".","",".","1.5","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","6","3.941","83.3","16.7",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","9","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","15","3.971","93.3","6.7",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","30","3.974","93.3","6.7",".","",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special","1","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","100","3.767","56.0","20.0","5.0","",".","",".","",".","",".","17.0","",".",".","",".","2.0","",".",".",".","."
"Prof Yr 4","3","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","3","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Dept. Total","134","3.832","64.2","16.4","3.7","",".","",".","",".","",".","14.2","",".",".","",".","1.5","",".",".",".","."
