"PHM","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACY","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Drug Interactions","635
001","6","4.000","100.0",".",".",".",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"Phmceut Biotech&Phmacogenomics","645
001","124","3.524","49.2","12.1","33.1","3.2","1.6","",".","",".","",".",".","",".",".","",".","","",".",".","0.8","."
"Research Ethics","800
001","23","3.891","78.3","21.7",".",".",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"PHARMACY
726","Dept. Total","153","3.599","55.6","13.1","26.8","2.6","1.3","",".","",".","",".","",".",".","",".","",".","",".",".","0.7","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"726
PHARMACY","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","23","3.886","73.9","21.7",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","4.3","."
"Prof Yr 3","","129","3.547","51.9","11.6","31.8","3.1","1.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","129","3.547","51.9","11.6","31.8","3.1","1.6","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","153","3.599","55.6","13.1","26.8","2.6","1.3","",".","",".","",".","",".",".","",".","",".","",".",".","0.7","."
