"PHM","","","","","","","","","","","","","","","","","","","",""
"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"401
Survey of Pharmacology","001","","178","3.522","52.2","19.7","15.7","6.2","5.6","0.6",".",".",".",".",".",".",".",".",".","."
"420
Intro-Drug Action&Delivry I","001","","150","3.550","46.7","29.3","14.0","7.3","2.7",".",".",".",".",".",".",".",".",".",".","."
"432
Pharmaceutical Biochemistry","001","","150","3.770","75.3","10.0","10.7","1.3","2.7",".",".",".",".",".",".",".",".",".",".","."
"490
Selected Topics-Pharm Sci","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"491
Selected Topics-Pharm Sci","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"521","001","","146","3.568","54.1","13.7","26.7","2.7","2.7",".",".",".",".",".",".",".",".",".",".","."
"521","002","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology I","Course Total","","152","3.572","53.9","14.5","26.3","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"540
Drug Delivery Systems","001","","146","2.976","11.6","10.3","45.2","27.4","5.5",".",".",".",".",".",".",".",".",".",".","."
"542
Drug Delivery System Lab II","001","","149","3.876","83.9","7.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmcol&Toxcol","001","","20","3.625","45.0","35.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Pharmacology III","001","","142","3.542","41.5","28.9","26.1","3.5",".",".",".",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"768
Pharmacokinetics","001","","9","3.611","55.6","22.2","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"780
Principles of Pharmaceut Sci","001","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Chem-Biology Interface I","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"931","002","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"931","003","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmaceutical Sci Seminar","Course Total","","49","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","016","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","090","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","","Page 406 of 423",""
