"FAMILY MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"370
FAM MED","","","","","","","","","","","","","","","","","","","",""
"699","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"701
Clinical & Translational Rsch","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"711
The Healer's Art","063","","31","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"919","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","15","3.889","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clrkshp Family Med-Madison","Course Total","","15","3.750","66.7","6.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clrkshp Family Med-Appleton","Course Total","","2","***","","","","","","","","","","","","","","","",""
"922
Clrkshp Family Med-EauClaire","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"926
Clrk Fam&Comm Med-Native Am","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"927","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"927","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"927","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clrkshp:Rural & Community Hlth","Course Total","","3","***","","","","","","","","","","","","","","","",""
"930","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clrkshp Family Med-St Lukes","Course Total","","3","***","","","","","","","","","","","","","","","",""
"931","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cl Mgmt-Addictv Disordr-Mad","Course Total","","3","***","","","","","","","","","","","","","","","",""
"933
Sports Medicine","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
