"EMERGENCY MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"330
EMER MED","","","","","","","","","","","","","","","","","","","",""
"959","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"959","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"959","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"959","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"959","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"EM Regional","Course Total","","15","3.944","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"961
EM Elective - Advanced","041","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"EMER MED
330","Dept. Total","","24","3.833","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
