"922","041
2","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"922","042
2","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Radiation Oncology-CSC","Course Total
4","***","","","","","","","","","","","","","","","","","","","","","","",""
"990
Rsch in Human Cancer Bio","022
1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"H ONCOL
480","23
Dept. Total","3.969","91.3","",".","4.3","",".","",".","",".","",".","",".","",".",".",".","4.3",".",".",".","."
"Summary by Level","#","Ave","A","AB","","B","BC","","C","","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","4","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","10","3.923","90.0","",".","10.0","",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Senior","3","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","18","3.958","94.4","",".","5.6","",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Prof Yr 4","5","***","","","","","","","","","","","","","","","","",".",".","20.0",".",".",".","."
"Professionals","5","***","","","","","","","","","","","","","","","","",".",".","20.0",".",".",".","."
"","Dept. Total
23","3.969","91.3","",".","4.3","",".","",".","",".","",".","",".","",".",".",".","4.3",".",".",".","."
