"EDU","","","","","","","","","","","","","","","","","","",""
"REHAB PSYCH & SPECIAL EDUC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","",""
"Issues in Special Education","200
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","110","3.891","86.4","7.3","5.5",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"","300
002","122","3.971","94.3","2.5","1.6",".",".",".",".",".",".",".",".",".","1.6",".",".","."
"Individls with Disabilities","Course Total","232","3.933","90.5","4.7","3.4",".","0.4",".",".",".",".",".",".",".","0.9",".",".","."
"Behav Anal:Person-Disabilty","330
001","19","3.868","89.5","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Tching Math in Inclusive Set","365
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Tching Functional Skills","402
002","25","3.860","84.0","8.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Adol. Lit. for Stdts with Dis","403
002","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics in Special Ed","405
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnosis and Assessment","464
001","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diversity in Special Education","466
001","32","3.891","78.1","21.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Stdt Teaching Seminar","467
001","22","3.969","68.2","4.5",".",".",".",".",".",".",".",".",".",".","27.3",".",".","."
"Sp Ed Student Teaching: MC-EA","477
001","22","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"Sp Ed Student Teaching: EA-A","478
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Foundatn","500
001","79","3.812","68.4","22.8","5.1","1.3",".",".",".",".",".",".",".",".","1.3",".",".","1.3"
"","501
001","18","3.861","83.3","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","19","3.921","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rehab-Cnslg Psych: Applcatn","Course Total","37","3.892","83.8","13.5",".","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"Bio,Psych,&Voc Aspt-Disabil","505
001","60","3.932","85.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","1.7"
"Rehab Psych-Medical Aspects","550
001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychosoc Asp-Chrnc Ill&Disabl","560
001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
019","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
020","37","3.987","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
021","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","62","3.992","98.4","1.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
034","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","059
660","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","660
060","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","660
062","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","28","4.000","96.4",".",".",".",".",".",".","3.6",".",".",".",".",".",".",".","."
"","690
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","10","",".",".",".",".",".",".",".","80.0",".",".",".","20.0",".",".",".","."
"","699
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
104","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","",""
"Intro to Qualitative Research","719
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","788
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"February 06, 2017","","","","","","","","","","","","","","","","","","Page 79 of 423",""
