"","699
086","","1","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","699
104","","5","***","","","","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","699
106","","13","4.000","100.0",".",".",".","","",".","",".","",".","",".",".","",".",".","",".","","",".",".",".","."
"NEURODPT 699","Course Total","","53","3.940","92.5","1.9","5.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"NEURODPT
681","Dept. Total","","53","3.940","92.5","1.9","5.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"681
NEURODPT","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","2","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","10","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","20","3.885","85.0","5.0","10.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","21","3.962","95.2",".","4.8","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","53","3.940","92.5","1.9","5.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","53","3.940","92.5","1.9","5.7","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
