"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","102","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","106","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","108","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","109","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","111","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","113","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","115","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Research in Neurology","Course Total","","39","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med
910","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurol Indiv Clin Elective","Course Total","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
