"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Phys/Chem Principles of Drugs","420
001","","125","3.372","29.6","28.8","32.0","5.6","4.0",".",".",".",".",".",".",".",".",".",".","."
"Pharmaceutical Biochemistry","432
001","","125","3.716","68.8","15.2","11.2","3.2","0.8",".","0.8",".",".",".",".",".",".",".",".","."
"Pharmacology I","521
001","","116","3.659","62.1","18.1","14.7","1.7","2.6","0.9",".",".",".",".",".",".",".",".",".","."
"Drug Delivery Systems","540
001","","94","3.649","54.3","26.6","14.9","3.2","1.1",".",".",".",".",".",".",".",".",".",".","."
"Parenteral Therapy & Nutrition","542
001","","92","3.750","66.3","17.4","16.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Techniques-Pharmcol&Toxcol","558
001","","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology III","623
001","","106","3.764","65.1","24.5","9.4",".","0.9",".",".",".",".",".",".",".",".",".",".","."
"Toxicology I","625
001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","751
001","","32","3.952","87.5","9.4",".",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"","751
002","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Reg Practice","Course Total","","39","3.934","84.6","12.8",".",".",".",".",".",".",".",".",".",".","2.6",".",".","."
"","753
001","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","753
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharm Economics and Proj","Course Total","","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Neuroactive drugs","757
001","","31","3.903","87.1","6.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trends in Drug Disc/Dev","759
001","","36","3.903","80.6","19.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Summative Research Internship","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","762
001","","17","3.353","17.6","41.2","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","762
002","","14","3.536","28.6","50.0","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"DrugDevI","Course Total","","31","3.435","22.6","45.2","29.0","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","763
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","763
002","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drug Development Process II","Course Total","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Molecular Recognition","766
001","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","768
001","","19","3.611","52.6","21.1","15.8",".","5.3",".",".",".",".",".",".",".","5.3",".",".","."
"","768
002","","14","3.714","64.3","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacokinetics","Course Total","","33","3.656","57.6","21.2","12.1","3.0","3.0",".",".",".",".",".",".",".","3.0",".",".","."
"Principles of Pharmaceut Sci","780
001","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","931
001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","Page 461 of 478",""
