"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found. Infant Mental Health
712","004","","25","4.000","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","40.0","."
"Reflective Practices IMH I
713","004","","25","4.000","72.0",".",".",".",".",".",".",".",".",".",".",".",".",".","28.0","."
"ACP Consultation I
714","004","","9","4.000","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","44.4","."
"Sports Psych Athlete Mtl Hlth
901","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"910","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Psych Ind Reading and Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Psychiatry Individual Clinical","Course Total","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Psychiatry Consultation Liason
922","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Psychiatry Geriatric Elective","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Dementia and Public Health
931","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Psych Addic
932","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"934","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"934","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Psych Inpatient Clinical Elect","Course Total","","2","***","","","","","","","","","","","","","","","",""
"946","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child and Adol Psych Elective","Course Total","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
