"PHM","","","","","","","","","","","","","","","","","","","","",""
"PHARMACEUTICAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","Dept. Total","1085","3.706","57.0","17.8","11.5","1.7","1.1","0.1","0.1","4.6","",".","5.6","",".","0.4","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","","",""
"Junior","","16","3.938","87.5","12.5",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","","87","3.796","80.5","8.0","6.9","1.1","3.4",".",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","103","3.813","81.6","8.7","5.8","1.0","2.9",".",".",".","",".",".","",".",".",".",".",".","."
"Special","","17","3.569","52.9","35.3","5.9","5.9",".",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","323","3.817","46.4","12.4","4.3","0.3","0.3",".",".","15.5","",".","18.9","",".","1.2","0.6",".",".","."
"Prof Yr 1","","253","3.557","49.0","21.7","21.3","4.7","2.4","0.4","0.4",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","","285","3.719","62.8","21.1","14.4","1.1","0.7",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","104","3.801","69.2","22.1","8.7",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","","642","3.661","58.4","21.5","16.2","2.3","1.2","0.2","0.2",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1085","3.706","57.0","17.8","11.5","1.7","1.1","0.1","0.1","4.6","",".","5.6","",".","0.4","0.2",".",".","."
