"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"Lifespan Motor Development","","Course Total","","68","3.963","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","89","3.365","44.9","21.3","13.5","11.2","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"Adap PE Comm Eng","362","001","","8","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt Strat in Adapt Phys Ed","363","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Assessmnt&Progrmg Adaptd PE","364","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pln, Fac, Assess Mvmt & Hlth","370","001","","74","3.784","79.7","10.8","6.8",".",".","1.4","1.4",".",".",".",".",".",".",".",".","."
"Methods & Prac of 6-12PE","373","001","","16","3.906","87.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Princpls-Exercise Leadershp","390","001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","027","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","030","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","28","3.850","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Athl Healthcare Contemp Persp","487","001","","67","3.455","32.8","34.3","25.4","6.0","1.5",".",".",".",".",".",".",".",".",".",".","."
"Theory Health Programs","501","001","","33","3.773","69.7","21.2","3.0","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Kinesiology","508","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phys Act for Diverse Abilities","516","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521","001","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521","002","","13","3.769","92.3",".",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","","Course Total","","24","3.750","70.8","25.0",".",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"Clinic Exercise Test&Train","523","001","","20","3.875","85.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","","30","3.617","43.3","40.0","13.3","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Prin. Strength & Conditioning","527","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Skills for Health","547","001","","9","3.625","55.6","11.1","11.1","11.1",".",".",".",".",".",".",".",".","11.1",".",".","."
"","555","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","555","002","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sports Sci & Athlete Monitor","","Course Total","","39","3.974","94.9","5.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Promoting Community Health","566","001","","59","3.949","91.5","6.8","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Health Education","568","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"February 07, 2025","","","","","","","","","","","","","","","","","","","","Page 113 of 478",""
